program,image,radius,threads,runs_total,runs_kept,elapsed_mean,elapsed_std,elapsed_ci95,rss_kb_mean,task_clock_ms_mean,cpus_utilized_mean
blur,im1,15,1,5,4,0.2225,0.004330127018922198,0.0042435244785437535,17760.0,238.3675,107.14500000000001
blur,im2,15,1,5,4,0.47,0.0,0.0,24756.0,510.49,108.61749999999999
blur,im3,15,1,5,5,0.844,0.00489897948556636,0.004294144850840505,36692.8,919.434,108.93800000000002
blur,im4,15,1,5,4,4.2675,0.027726341266023392,0.027171814440702925,135264.0,4648.834999999999,108.935
