rank,function,Ir,Ir_percent
1,PROGRAM TOTALS,8662984058,100.000
2,filters_opt.cpp:Filter::pass1_worker(void*) [/home/adam/dv1674_a2/blur/blur_par],2442071520,28.190
3,filters_opt.cpp:Filter::pass2_worker(void*) [/home/adam/dv1674_a2/blur/blur_par],2438807544,28.150
4,=> ???:0x000000000010d960 (5,760,000x),1065656528,12.300
5,events annotated,6906048212,79.720
