program,image,radius,threads,runs_total,runs_kept,elapsed_mean,elapsed_std,elapsed_ci95,rss_kb_mean,task_clock_ms_mean,cpus_utilized_mean
blur,im1,15,1,5,4,0.225,0.0050000000000000044,0.004900000000000004,17760.0,242.24249999999998,107.6975
blur,im2,15,1,5,4,0.47,0.0,0.0,24708.0,508.3775,108.16250000000001
blur,im3,15,1,5,5,0.8560000000000001,0.004898979485566361,0.004294144850840506,36578.4,931.6619999999999,108.83800000000001
blur,im4,15,1,5,4,4.265,0.011180339887499008,0.010956733089749027,135382.0,4650.66,109.0425
