program,size,threads,runs_total,runs_kept,elapsed_mean,elapsed_std,elapsed_ci95,rss_kb_mean,task_clock_ms_mean,cpus_utilized_mean
pearson,128,1,5,5,0.02,0.0,0.0,17740.8,14.443999999999999,72.22
pearson,256,1,5,5,0.08,0.0,0.0,17664.0,80.8,101.0
pearson,512,1,5,5,0.46799999999999997,0.007483314773547865,0.006559414608027137,17702.4,506.854,108.31200000000001
pearson,1024,1,5,5,3.3559999999999994,0.10818502669038815,0.09482835694031609,24123.2,3654.3560000000007,108.894
